scorer,,,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025,DLC_Resnet50_silk01Aug2shuffle1_snapshot_025
bodyparts,,,nose,nose,nose,poll,poll,poll,withers,withers,withers,croup,croup,croup,LF_carpi,LF_carpi,LF_carpi,LF_fetlock,LF_fetlock,LF_fetlock,LF_hoof_tip,LF_hoof_tip,LF_hoof_tip,RF_carpi,RF_carpi,RF_carpi,RF_fetlock,RF_fetlock,RF_fetlock,RF_hoof_tip,RF_hoof_tip,RF_hoof_tip,LH_hock,LH_hock,LH_hock,LH_fetlock,LH_fetlock,LH_fetlock,LH_hoof_tip,LH_hoof_tip,LH_hoof_tip,RH_hock,RH_hock,RH_hock,RH_fetlock,RH_fetlock,RH_fetlock,RH_hoof_tip,RH_hoof_tip,RH_hoof_tip
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,2025_silk_01_nologo,img047.png,2340.5793,1329.4648,0.01508272,2665.88,481.52545,0.022894615,1728.2114,574.70844,0.025010642,1145.3485,907.04486,0.018117856,1934.9211,1469.7802,0.1668354,1936.2972,1468.1763,0.39099333,1123.8225,820.9556,0.014382642,1940.1803,1457.7299,0.30171525,1937.842,1465.9426,0.3904405,2577.8286,1477.4164,0.015574842,1078.9897,1188.5103,0.15682827,1938.0685,1466.5858,0.2378658,1590.8606,1587.4674,0.04540401,1077.4012,1184.2333,0.1802552,1941.6461,1465.3666,0.41399464,2570.85,1476.5039,0.038505416
labeled-data,2025_silk_01_nologo,img265.png,2028.1096,1504.2327,0.031751543,1188.9418,1201.1567,0.025919728,1696.85,542.4867,0.022589631,1794.9536,551.328,0.016969465,1073.9418,1503.3502,0.1903136,1075.195,1501.4797,0.4402909,2284.5427,1600.6426,0.013467192,1079.647,1491.316,0.30887997,1076.97,1499.0691,0.42855197,2287.3318,1600.4558,0.015857998,1159.8933,1204.7877,0.16233228,1076.9546,1499.857,0.2510415,2284.4932,1600.8875,0.050015576,1158.311,1198.2078,0.1944115,1080.8666,1498.2638,0.44655842,2283.3762,1600.3383,0.041152343
labeled-data,2025_silk_01_nologo,img095.png,1145.3772,720.73755,0.017351262,2643.663,426.56897,0.024577467,1774.0879,559.98663,0.026066579,1782.3187,555.24646,0.016775375,1219.4944,1477.7622,0.16712862,1218.251,1476.6667,0.37762174,1287.769,1560.6156,0.01458077,1222.9904,1466.2238,0.28609148,1219.876,1474.1116,0.3866941,1445.9817,1571.7891,0.01772277,2711.6826,455.15836,0.08025849,1217.5374,1475.5,0.23947422,2421.8787,1570.6838,0.05117071,2709.659,449.8327,0.11524758,1222.8018,1473.0958,0.42300442,2559.612,1487.5066,0.037338663
labeled-data,2025_silk_01_nologo,img344.png,1327.897,1297.1108,0.03490509,1094.1031,1185.6073,0.027909407,1736.8336,574.3177,0.024825342,1719.6694,569.99744,0.016825141,1887.2969,1483.4534,0.1643886,1888.702,1481.9221,0.38967836,1532.3767,1573.8905,0.01597273,1893.4482,1471.9335,0.30576155,1890.2501,1479.7606,0.38749275,1533.4761,1574.583,0.020281645,1333.9088,1231.2633,0.15080503,1890.3016,1480.3379,0.23706931,1528.4889,1575.3894,0.0537058,1064.5961,1179.6788,0.16083072,1893.2072,1478.4371,0.4093818,1527.5664,1572.3251,0.044235677
labeled-data,2025_silk_01_nologo,img437.png,1965.5117,1464.4933,0.036072094,2680.0903,530.7115,0.021202447,1810.5892,575.32935,0.02794259,1506.0917,561.7758,0.017398367,946.181,1446.4934,0.1654391,945.287,1444.5526,0.36900988,1656.3892,1569.8292,0.016858272,950.79706,1434.8569,0.26853094,946.7267,1443.0851,0.37273934,1657.7579,1570.2936,0.023308273,1091.4442,1187.0214,0.11586584,944.6913,1444.1458,0.22543965,1651.4694,1570.3551,0.059609406,1399.8054,1251.6937,0.14082094,949.811,1441.0875,0.39901292,1651.9401,1567.9833,0.042666655
labeled-data,2025_silk_01_nologo,img377.png,2401.554,1445.8889,0.035318993,2643.2336,532.9348,0.023039227,1726.6362,574.41754,0.025010511,1113.5593,842.0689,0.024439827,1832.0522,1467.3223,0.17233364,1833.6746,1464.6113,0.37526485,2173.0896,1504.5172,0.015441609,1838.8269,1455.2953,0.2965316,1835.2031,1462.2184,0.37770742,1898.3821,1563.2129,0.019324781,1091.935,1167.8887,0.16150202,1836.3279,1462.726,0.24011543,2170.7563,1505.0961,0.046793815,1304.3862,1216.0038,0.18079844,1838.3782,1461.6442,0.39629182,2169.7954,1504.7294,0.040997267
labeled-data,2025_silk_01_nologo,img215.png,2285.4878,998.7015,0.021789921,2499.3035,677.9713,0.022130223,1772.4283,558.71765,0.025400426,1764.017,553.6615,0.016638076,1911.5867,1488.6381,0.17693464,1913.008,1485.4941,0.3797979,1976.0796,1591.4711,0.014390074,1917.5105,1476.8164,0.27594268,1914.8239,1482.869,0.37368676,1977.1305,1593.3016,0.02087208,1127.0232,1170.396,0.1491552,1915.6108,1484.1058,0.22903515,2439.9075,1491.338,0.052749086,1125.1882,1164.8685,0.16552962,1918.1387,1482.4803,0.38622403,2440.736,1488.9138,0.039697018
labeled-data,2025_silk_01_nologo,img229.png,1635.5264,1600.206,0.013607597,2695.3115,459.13272,0.022944933,2028.6316,524.9476,0.022477742,1161.6812,826.41986,0.022400564,1152.3533,1480.3278,0.16823478,1153.1147,1479.391,0.3899342,2384.5654,1584.349,0.01367202,1158.3885,1470.2886,0.31343713,1155.4707,1478.3551,0.38531414,2185.533,1496.667,0.018617436,1207.8093,1184.9347,0.15560108,1152.9686,1479.2583,0.23960617,2382.9119,1583.7899,0.04898977,1206.7489,1181.912,0.15626127,1158.1213,1476.9031,0.4264915,2382.328,1584.0299,0.0389979
